outcome,feature_set,estimand,n,events_A0,events_A1,risk_A0,risk_A1,rd_A0_minus_A1,rr_A0_over_A1,ess_A0,ess_A1,fixed_score_ci_low,fixed_score_ci_high,fixed_score_valid_reps,eif_ci_low,eif_ci_high,eif_se,n_categorical,n_numeric,max_abs_smd,sensitivity,availability,reason,cohort_definition,ci_provenance,full_nuisance_refit_bootstrap,strict_covariates,hfrs_in_model,post_treatment_covariates_in_model
y90_primary_middle,strict_pre_admission_proxy,discharge-status association in overlap population,78942,3785,1242,0.1164441337901041,0.027772079725679386,0.08867205406442472,4.192848895015749,27611.541359798357,38102.48062098125,0.08457019459231915,0.0928126769418141,1000,0.08448793093787246,0.09285617719097697,0.0021347959245966736,14,5,0.005011258321931169,resident_only,AVAILABLE,,RESIDENT=1 in the frozen main cohort,strict pre-admission proxy model; fixed-score stratified hospital-cluster bootstrap,Not performed; reserved for canonical primary result only,"[""FEMALE"", ""PAY1"", ""ZIPINC_QRTL"", ""PL_NCHS"", ""RESIDENT"", ""HCUP_ED"", ""ELECTIVE"", ""AWEEKEND"", ""HOSP_BEDSIZE"", ""HOSP_URCAT4"", ""HOSP_UR_TEACH"", ""H_CONTRL"", ""year"", ""quarter"", ""AGE"", ""prior_admissions_90d"", ""prior_biliary_90d"", ""prior_pancreatitis_90d"", ""complete_90d_lookback_proxy""]",False,False
y90_primary_middle,strict_pre_admission_proxy,discharge-status association in overlap population,43443,3070,377,0.11307454156417322,0.02462885795523067,0.08844568360894256,4.591140270073241,20747.594831788716,13370.194345711108,0.08331349872815821,0.09367691437592911,1000,0.0832953400450455,0.09359602717283962,0.0026277745940856325,14,5,0.008023663760084357,aprdrg_severity_1_2,AVAILABLE,,"APRDRG_Severity in {1,2} in the frozen main cohort; post-admission severity used only as an eligibility sensitivity, never as an adjustment covariate",strict pre-admission proxy model; fixed-score stratified hospital-cluster bootstrap,Not performed; reserved for canonical primary result only,"[""FEMALE"", ""PAY1"", ""ZIPINC_QRTL"", ""PL_NCHS"", ""RESIDENT"", ""HCUP_ED"", ""ELECTIVE"", ""AWEEKEND"", ""HOSP_BEDSIZE"", ""HOSP_URCAT4"", ""HOSP_UR_TEACH"", ""H_CONTRL"", ""year"", ""quarter"", ""AGE"", ""prior_admissions_90d"", ""prior_biliary_90d"", ""prior_pancreatitis_90d"", ""complete_90d_lookback_proxy""]",False,False
y90_primary_middle,strict_pre_admission_proxy,discharge-status association in overlap population,82184,3860,1281,0.11420227555273366,0.02743977767581473,0.08676249787691892,4.161924229196321,28657.546145562945,39804.8888017679,0.08269021461522051,0.09080132877336261,1000,0.08269243105456912,0.09083256469926872,0.0020766028633454883,14,5,0.005021824089030072,exclude_all_J96,AVAILABLE,,"Exclude any index admission with any_J96=1; this is a stricter respiratory/life-support proxy eligibility sensitivity, not a model covariate",strict pre-admission proxy model; fixed-score stratified hospital-cluster bootstrap,Not performed; reserved for canonical primary result only,"[""FEMALE"", ""PAY1"", ""ZIPINC_QRTL"", ""PL_NCHS"", ""RESIDENT"", ""HCUP_ED"", ""ELECTIVE"", ""AWEEKEND"", ""HOSP_BEDSIZE"", ""HOSP_URCAT4"", ""HOSP_UR_TEACH"", ""H_CONTRL"", ""year"", ""quarter"", ""AGE"", ""prior_admissions_90d"", ""prior_biliary_90d"", ""prior_pancreatitis_90d"", ""complete_90d_lookback_proxy""]",False,False
y90_primary_middle,strict_pre_admission_proxy,discharge-status association in overlap population,85430,4311,1376,0.12100970931024321,0.02885999141218441,0.0921497178980588,4.192991868291204,30370.624833311693,40837.06332543759,0.08820869163725707,0.09626882698484279,1000,0.08806465775724184,0.09623477803887576,0.0020842526561913907,14,5,0.002636645548667266,broad_K851_phenotype,AVAILABLE,,"Existing broad cohort: age >=18, principal diagnosis starts with K851 (K85.1*), canonical severe-code exclusions, survived discharge, discharge months 1-9, earliest annual index admission",strict pre-admission proxy model; fixed-score stratified hospital-cluster bootstrap,Not performed; reserved for canonical primary result only,"[""FEMALE"", ""PAY1"", ""ZIPINC_QRTL"", ""PL_NCHS"", ""RESIDENT"", ""HCUP_ED"", ""ELECTIVE"", ""AWEEKEND"", ""HOSP_BEDSIZE"", ""HOSP_URCAT4"", ""HOSP_UR_TEACH"", ""H_CONTRL"", ""year"", ""quarter"", ""AGE"", ""prior_admissions_90d"", ""prior_biliary_90d"", ""prior_pancreatitis_90d"", ""complete_90d_lookback_proxy""]",False,False
y90_primary_middle,chronic_proxy_sensitivity,discharge-status association in overlap population,82948,3911,1291,0.1140541520315496,0.0278585123014089,0.0861956397301407,4.094050349766219,28718.547153209147,39346.51982094811,0.0822156505037503,0.0902811883067935,1000,0.0821203811494534,0.0902708983108281,0.0020792517683144,14,31,0.0052252239457879,chronic_proxy_main_cohort,AVAILABLE,Previously computed in the frozen revision analysis; copied without refitting,Main cohort; chronic diagnosis proxies added only as an explicit sensitivity because present-on-admission is unavailable,Existing fixed-score stratified hospital-cluster bootstrap and EIF comparison; neither is the canonical full-refit primary CI,Not performed; reserved for canonical primary result only,"[""FEMALE"", ""PAY1"", ""ZIPINC_QRTL"", ""PL_NCHS"", ""RESIDENT"", ""HCUP_ED"", ""ELECTIVE"", ""AWEEKEND"", ""HOSP_BEDSIZE"", ""HOSP_URCAT4"", ""HOSP_UR_TEACH"", ""H_CONTRL"", ""year"", ""quarter"", ""AGE"", ""prior_admissions_90d"", ""prior_biliary_90d"", ""prior_pancreatitis_90d"", ""complete_90d_lookback_proxy""]",False,False
y90_primary_middle,original_extended_sensitivity,discharge-status association in overlap population,82948,3911,1291,0.1144905007141968,0.0279858900530557,0.086504610661141,4.091008022154921,26191.687173512324,31444.347848821104,0.0822550081910377,0.0906564099899405,1000,0.0822346482558675,0.0907745730664145,0.0021785922797329,14,35,0.0067297939946214,legacy_expanded_main_cohort,AVAILABLE,Previously computed in the frozen revision analysis; copied without refitting,"Main cohort; legacy extended model including acute discharge diagnoses, reported only for transparent comparison",Existing fixed-score stratified hospital-cluster bootstrap and EIF comparison; neither is the canonical full-refit primary CI,Not performed; reserved for canonical primary result only,"[""FEMALE"", ""PAY1"", ""ZIPINC_QRTL"", ""PL_NCHS"", ""RESIDENT"", ""HCUP_ED"", ""ELECTIVE"", ""AWEEKEND"", ""HOSP_BEDSIZE"", ""HOSP_URCAT4"", ""HOSP_UR_TEACH"", ""H_CONTRL"", ""year"", ""quarter"", ""AGE"", ""prior_admissions_90d"", ""prior_biliary_90d"", ""prior_pancreatitis_90d"", ""complete_90d_lookback_proxy""]",False,False
