outcome,feature_set,estimand,n,events_A0,events_A1,risk_A0,risk_A1,rd_A0_minus_A1,rr_A0_over_A1,ess_A0,ess_A1,fixed_score_ci_low,fixed_score_ci_high,fixed_score_valid_reps,eif_ci_low,eif_ci_high,eif_se,n_categorical,n_numeric,max_abs_smd
y90_primary_middle,strict_pre_admission_proxy,discharge-status association in overlap population,82948,3911,1291,0.11438416866401231,0.02738357397624059,0.08700059468777172,4.177108830398032,29011.269454012006,40051.536375109165,0.0831189281103098,0.09099932035847984,1000,0.08296398696165336,0.09103720241389007,0.002059531582191668,14,5,0.004885877718778506
y90_primary_middle,chronic_proxy_sensitivity,discharge-status association in overlap population,82948,3911,1291,0.11405415203154969,0.027858512301408914,0.08619563973014077,4.094050349766219,28718.547153209147,39346.51982094811,0.08221565050375033,0.09028118830679355,1000,0.0821203811494534,0.09027089831082814,0.00207925176831442,14,31,0.005225223945787976
y90_primary_middle,original_extended_sensitivity,discharge-status association in overlap population,82948,3911,1291,0.11449050071419681,0.02798589005305578,0.08650461066114103,4.091008022154921,26191.687173512324,31444.347848821104,0.08225500819103773,0.0906564099899405,1000,0.08223464825586754,0.09077457306641451,0.0021785922797329512,14,35,0.006729793994621415
