weighting,variable,level,A0_value,A1_value,smd
unweighted,HOSP_UR_TEACH,2,0.08401390095569071,0.06503779586104341,-0.0723027932129937
unweighted,H_CONTRL,1,0.11630466261222126,0.11772481308604238,0.004418129214437751
unweighted,H_CONTRL,2,0.7620040544454098,0.769300673303317,0.01722628656627616
unweighted,H_CONTRL,3,0.12169128294236896,0.11297451361064068,-0.027088628422604896
unweighted,year,2018,0.21966406023747467,0.2086001073980751,-0.026973304689580514
unweighted,year,2019,0.2178685201274254,0.21741914164153828,-0.0010890226298640676
unweighted,year,2020,0.1882421083116131,0.18957825602048825,0.003413445284162593
unweighted,year,2021,0.18670721112076455,0.19734396298897106,0.02700662191841677
unweighted,year,2022,0.18751810020272228,0.18705853195092734,-0.0011779490330252823
unweighted,quarter,1,0.3293657688966116,0.3327688049898798,0.007231360984027568
unweighted,quarter,2,0.32759918911091807,0.330600190011979,0.006386686628500567
unweighted,quarter,3,0.3430350419924703,0.3366310049981412,-0.013520852296951965
overlap_weighted,AGE,continuous,57.671180223260976,57.66135733620092,-0.0005287591352476788
overlap_weighted,prior_admissions_90d,continuous,0.36634670600864305,0.3668088763859268,0.00038488005916203675
overlap_weighted,prior_biliary_90d,continuous,0.049600380028614714,0.049712541741494025,0.0005163170331991673
overlap_weighted,prior_pancreatitis_90d,continuous,0.022796127565350103,0.022878608130955172,0.000552134898217842
overlap_weighted,complete_90d_lookback_proxy,continuous,0.6687485796899564,0.6688336522701053,0.00018075626964829587
overlap_weighted,FEMALE,0,0.4131245324470388,0.4129763642434836,-0.0003009214069785133
overlap_weighted,FEMALE,1,0.5868754675529612,0.5870236357565164,0.00030092140697862604
overlap_weighted,PAY1,1,0.41035214854901114,0.410410933052426,0.0001195042663288959
overlap_weighted,PAY1,2,0.16816351772370525,0.1683841550744149,0.0005897671426124589
overlap_weighted,PAY1,3,0.341942478807713,0.3418586830820064,-0.0001766551061635798
overlap_weighted,PAY1,4,0.04723230327519708,0.0471073529450046,-0.00058938289781095
overlap_weighted,PAY1,5,0.0051973342297393565,0.0052296468058401725,0.0004486858324978386
overlap_weighted,PAY1,6,0.02570783080853904,0.02559099321596145,-0.0007390712301124772
overlap_weighted,PAY1,MISSING,0.0014043866060950998,0.0014182358243464473,0.0003689101031851782
overlap_weighted,ZIPINC_QRTL,1,0.26237906489585444,0.26226988403656926,-0.0002481957943961691
overlap_weighted,ZIPINC_QRTL,2,0.27502098352727844,0.27513638357344194,0.00025842354652971566
overlap_weighted,ZIPINC_QRTL,3,0.25072962545102806,0.2507035393287921,-6.018592435541648e-05
overlap_weighted,ZIPINC_QRTL,4,0.2007556062291948,0.20097601222281503,0.0005501239482627293
overlap_weighted,ZIPINC_QRTL,MISSING,0.011114719896644263,0.010914180838381754,-0.0019214221079878774
overlap_weighted,PL_NCHS,1,0.24016595170056176,0.24008614201419554,-0.0001868379920937714
overlap_weighted,PL_NCHS,2,0.26728566822221594,0.2671672762253969,-0.00026754554538462527
overlap_weighted,PL_NCHS,3,0.21880129354629546,0.21875867398664078,-0.00010309046175487373
overlap_weighted,PL_NCHS,4,0.10220753987206796,0.10214945046150219,-0.00019178834821157017
overlap_weighted,PL_NCHS,5,0.09434069981282653,0.094493692392152,0.0005232156771285896
overlap_weighted,PL_NCHS,6,0.07487352112093389,0.0748788681125354,2.031597602104552e-05
overlap_weighted,PL_NCHS,MISSING,0.002325325725098433,0.0024658968075773296,0.0028754716429238093
overlap_weighted,RESIDENT,0,0.05434934841294869,0.054147883814375,-0.0008894385755010365
overlap_weighted,RESIDENT,1,0.9456506515870512,0.9458521161856251,0.0008894385755022007
overlap_weighted,HCUP_ED,0,0.1288112669186019,0.1284346501962762,-0.0011249607342658724
overlap_weighted,HCUP_ED,1,0.5875263228321213,0.5876662264464249,0.0002842026557951176
overlap_weighted,HCUP_ED,2,0.2810759293119522,0.28116906049270013,0.00020716666044938412
overlap_weighted,HCUP_ED,3,0.0,1.193575807740683e-05,0.004885877718778506
overlap_weighted,HCUP_ED,4,0.002586480937324577,0.00271812710652141,0.0025596090401783897
overlap_weighted,ELECTIVE,0,0.9750493019588485,0.9748764751971899,-0.0011061777161684974
overlap_weighted,ELECTIVE,1,0.02386290265258984,0.024066016929161212,0.0013280789964527722
overlap_weighted,ELECTIVE,MISSING,0.0010877953885615214,0.001057507873648762,-0.0009252676687587038
overlap_weighted,AWEEKEND,0,0.7260640743981879,0.7261545759878305,0.00020293949701582977
overlap_weighted,AWEEKEND,1,0.2739359256018121,0.27384542401216966,-0.00020293949701545631
overlap_weighted,HOSP_BEDSIZE,1,0.21701068648770455,0.21704477231133618,8.268809540917629e-05
overlap_weighted,HOSP_BEDSIZE,2,0.28359420862712764,0.2837272505679866,0.000295141030081073
overlap_weighted,HOSP_BEDSIZE,3,0.4993951048851677,0.49922797712067735,-0.0003342558505073801
overlap_weighted,HOSP_URCAT4,1,0.5353230057985929,0.5352792291831625,-8.777226236288904e-05
overlap_weighted,HOSP_URCAT4,2,0.37693430462598887,0.37688547445597453,-0.00010076136481282355
overlap_weighted,HOSP_URCAT4,3,0.06775378676054507,0.06780402703438208,0.00019986891603167477
overlap_weighted,HOSP_URCAT4,4,0.019988902814873106,0.02003126932648082,0.00030254322359478034
overlap_weighted,HOSP_UR_TEACH,0,0.2052649975772135,0.20520312148048236,-0.00015320698624333984
overlap_weighted,HOSP_UR_TEACH,1,0.7069923128473682,0.7069615821586548,-6.751787623091021e-05
overlap_weighted,HOSP_UR_TEACH,2,0.08774268957541818,0.0878352963608629,0.0003272465881659401
overlap_weighted,H_CONTRL,1,0.11090097127594895,0.11095945723552327,0.000186233913690315
overlap_weighted,H_CONTRL,2,0.7745271738017603,0.7744335364626869,-0.0002240534697028987
overlap_weighted,H_CONTRL,3,0.11457185492229054,0.11460700630179,0.00011035645530893823
overlap_weighted,year,2018,0.21809500799187964,0.21794275985860145,-0.0003687285750156969
overlap_weighted,year,2019,0.21289707736918306,0.21298935280555328,0.000225398578803081
overlap_weighted,year,2020,0.1868432899660778,0.18677354511485078,-0.0001789441462210245
overlap_weighted,year,2021,0.1933018095197184,0.19348829049076322,0.0004721515455361895
overlap_weighted,year,2022,0.18886281515314107,0.18880605173023132,-0.00014503513683274382
overlap_weighted,quarter,1,0.3312514203100435,0.33116634772989473,-0.00018075626964805997
overlap_weighted,quarter,2,0.3277798313564432,0.32792535924614036,0.0003100092560487079
overlap_weighted,quarter,3,0.3409687483335132,0.34090829302396497,-0.00012753619313739261
