year,analysis_n,A0_n,A1_n,primary_events_A0,primary_events_A1,n_strata,n_hospital_clusters,raw_records,adult_records,diagnosis_match,no_severe_proxy,survived_discharge,discharge_month_1_to_9,deduplicated_index
2018,17685,7585,10100,871,275,89,1701,17686511.0,16444762.0,25463.0,24182.0,24136.0,18071.0,17685.0
2019,18050,7523,10527,834,261,93,1749,18132856.0,16804522.0,25864.0,24471.0,24424.0,18422.0,18050.0
2020,15679,6500,9179,695,261,99,1727,16692694.0,15416366.0,22729.0,21480.0,21448.0,16021.0,15679.0
2021,16002,6447,9555,744,259,96,1693,16805508.0,15498879.0,22806.0,21592.0,21558.0,16337.0,16002.0
2022,15532,6475,9057,767,235,98,1702,16517253.0,15178387.0,22429.0,21122.0,21093.0,15892.0,15532.0
overall,82948,34530,48418,3911,1291,475,8572,,,,,,,
