outcome,feature_set,estimand,n,events_A0,events_A1,risk_A0,risk_A1,rd_A0_minus_A1,rr_A0_over_A1,ess_A0,ess_A1,fixed_score_ci_low,fixed_score_ci_high,fixed_score_valid_reps,eif_ci_low,eif_ci_high,eif_se,n_categorical,n_numeric,max_abs_smd,component
y90_component_k80,strict_pre_admission_proxy,discharge-status association in overlap population,82948,1320,136,0.0377478186531793,0.0027524776097190536,0.03499534104346024,13.714123784292012,29011.269454012006,40051.536375109165,0.03266113452868691,0.03714037519577087,1000,0.03274532514211536,0.03724535694480512,0.0011479883911606444,14,5,0.004885877718778506,k80
y90_component_k81,strict_pre_admission_proxy,discharge-status association in overlap population,82948,135,<11,0.003736090876615399,7.050969451657839e-05,0.0036655811820988206,52.98691055507213,29011.269454012006,40051.536375109165,0.0030635202124250248,0.004385332941749165,1000,0.002970983771563943,0.004360178592633698,0.00035439294599992263,14,5,0.004885877718778506,k81
y90_component_k830,strict_pre_admission_proxy,discharge-status association in overlap population,82948,29,13,0.0007391422518460123,0.00029898083473874776,0.00044016141710726453,2.472206128168321,29011.269454012006,40051.536375109165,0.00012270725904640952,0.0007909606621168909,1000,0.00010137198284401738,0.0007789508513705117,0.00017285492842500388,14,5,0.004885877718778506,k830
y90_component_k851,strict_pre_admission_proxy,discharge-status association in overlap population,82948,1601,293,0.047159330348074666,0.006061557055834056,0.04109777329224061,7.780068704077497,29011.269454012006,40051.536375109165,0.03864221196500248,0.04342357870551261,1000,0.03854362620862695,0.043651920375854275,0.0013031602130245885,14,5,0.004885877718778506,k851
y90_component_other_k85,strict_pre_admission_proxy,discharge-status association in overlap population,82948,1034,884,0.03104844480342923,0.018965151171504782,0.012083293631924449,1.6371314165994968,29011.269454012006,40051.536375109165,0.009959468922367076,0.014680684025366191,1000,0.00964477530654521,0.014521811957303687,0.0012441648645658938,14,5,0.004885877718778506,other_k85
y90_component_k85_total,strict_pre_admission_proxy,discharge-status association in overlap population,82948,2528,1145,0.07513765605320662,0.024371866904981273,0.05076578914822534,3.0829667807618595,29011.269454012006,40051.536375109165,0.047394088223431045,0.05444376255141635,1000,0.04733641850758786,0.05419515978886282,0.0017497110496356117,14,5,0.004885877718778506,k85_total
y90_component_biliary_composite,strict_pre_admission_proxy,discharge-status association in overlap population,82948,3911,1291,0.11438416866401231,0.02738357397624059,0.08700059468777172,4.177108830398032,29011.269454012006,40051.536375109165,0.0831189281103098,0.09099932035847984,1000,0.08296398696165336,0.09103720241389007,0.002059531582191668,14,5,0.004885877718778506,biliary_composite
